,0,1,2,3,4,5,6,7
qtKill,18.847354777895607,18.544213125247666,19.396680956263317,19.334396974531703,21.195634153080963,20.778462998102466,20.255337138025787,17.225163161711386
qtDeath,18.28711558854719,18.585301917273757,19.16816137600926,19.61856644802931,16.118817352859907,17.20374762808349,19.59310927922215,20.59064539521392
qtHs,7.544244138093555,7.312890541652696,7.825421455434868,7.566152573420788,8.213871235147831,8.460626185958255,7.90720777848235,7.115542663766014
qtBombeDefuse,0.3133616118769883,0.3109092571707257,0.3140993609131315,0.3131241505643207,0.3904393478861564,0.3572106261859583,0.3563728598604946,0.2481266618322455
qtBombePlant,1.29495110168493,1.3438290608711556,1.3226731189017171,1.3668971222596469,1.4802431610942248,1.4248102466793169,1.3113506658211795,1.0868987188784145
vlDamage,2458.298250265111,2437.149144999543,2541.3552586592327,2557.500206819122,2704.807405360597,2659.3109582542693,2631.7710843373493,2310.543268068649
qtHits,63.02047248733357,63.077818758191846,64.52815401204533,66.25775571707145,71.26747720364742,65.64883776091082,71.1147748890298,59.88796229151559
qtShots,425.3524508071168,460.7993111226263,460.79430870788735,506.2637830171955,476.9812102790826,449.6828747628084,463.4134432466709,398.9743775682862
qtRoundsPlayed,25.95646282549782,26.16746426067608,26.823659364069115,27.1054777521716,25.649350649350648,26.53747628083492,27.350877192982452,26.38336959149142
descMapName_de_ancient,0.0282785436550017,0.0283171274423141,0.0134392341477526,0.0202091827690125,0.0571981210279082,0.0173149905123339,0.0450221940393151,0.0102731447909112
descMapName_de_dust2,0.189289501590668,0.1854787088121437,0.1709228624779738,0.0,0.0,0.0,0.0,0.0
descMapName_de_inferno,0.0,0.3491937696223366,0.2809089235462746,0.672989422679194,0.0,0.0,0.0,0.0
descMapName_de_mirage,0.4351360904913397,0.0,0.4131183757199589,0.0,0.0,0.9325189753320684,0.0,0.9525018129079044
descMapName_de_nuke,0.073671497584541,0.0869326668089127,0.031112747547537,0.0481002186373574,0.0,0.0,0.8036355950116254,0.0
descMapName_de_overpass,0.0929657122658183,0.0962904258237571,0.039818004891776,0.0752821603734562,0.2216081790549875,0.0501660341555977,0.1513422109490594,0.0372250423011844
descMapName_de_train,0.1053964887474961,0.049593074648703,0.0182784104357888,0.0225728298764994,0.0,0.0,0.0,0.0
descMapName_de_vertigo,0.0752621656651349,0.2041942268418325,0.0324014412329379,0.1608461856644803,0.7211936999171041,0.0,0.0,0.0
flWinner,0.5645104277129728,0.5121467979394642,0.4264524103831891,0.3308515038704721,1.0,1.0,0.5943775100401606,0.0
